Obs#,Time,Date,Species,t_or_b,Plant,Location,configName,configAuthor,Sample,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
11,11:05:07,3/8/24,Eschscholzia_californica,t,AD_2,"37.7244120, -122.4765284","\""Petals \""",Kevin Simonin,11,0.009441174,2.534838,0.00940614,0.136063457,0.873907,0.868867,2.324904321,1.450997321,8.525487,8.574944,22.81330901,0.4417875,7.5,41.73,41.49,18.18,19.85,19.85,101.91,120.5,120.2,0.2,119,3.843,10:55:53,3/8/24,0.21,1,0.004,-0.001,-9999,0,-0.001,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.488097,2.499156,1.358201,0.844238,0.358546,0.0186,0.197002,0.210355,55.849312,0.000129,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
12,11:05:27,3/8/24,Eschscholzia_californica,t,AD_2,"37.7244120, -122.4765284","\""Petals \""",Kevin Simonin,12,0.027947568,2.53226688,0.027642489,0.406351806,0.860419,0.84534,2.335013082,1.474594082,8.294738,8.442706,22.91250203,0.4417875,7.5,40.91,40.19,18.25,19.92,19.92,101.91,120.3,119.9,0.3,236,3.841,10:55:53,3/8/24,0.21,1,0.002,0.002,-9999,-0.001,-0.002,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.486136,2.497898,1.357163,0.843639,0.357544,0.018598,0.198493,0.311773,55.802109,0.000129,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
13,11:07:23,3/8/24,Eschscholzia_californica,b,AD_3,"37.7243871, -122.4761982","\""Petals \""",Kevin Simonin,13,0.015343959,2.534838,0.015251637,0.288874815,0.843821,0.833115,2.740499683,1.896678683,8.173504,8.278537,26.8860952,0.4417875,7.5,39,38.5,18.7,22.53,22.53,101.93,120.5,120.3,0.2,1909,3.84,11:07:13,3/8/24,0.17,1,-0.001,-0.002,0.015,0.001,-0.004,-0.008,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.483499,2.494972,1.358731,0.844585,0.351114,0.043151,0.206753,1.764026,55.331467,0.000129,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
14,11:07:38,3/8/24,Eschscholzia_californica,b,AD_3,"37.7243871, -122.4761982","\""Petals \""",Kevin Simonin,14,0.001657163,2.53226688,0.001656079,0.024667311,0.830141,0.829225,2.324904321,1.494763321,8.135363,8.144348,22.80883274,0.4417875,7.5,38.23,38.19,18.75,19.85,19.85,101.93,120.3,120.3,0,1232,3.84,11:07:13,3/8/24,0.17,1,0,0.001,-9999,-0.004,0,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.483014,2.493791,1.357161,0.844644,0.350332,0.01209,0.207761,1.176699,55.281757,0.000129,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
15,11:07:52,3/8/24,Eschscholzia_californica,b,AD_3,"37.7243871, -122.4761982","\""Petals \""",Kevin Simonin,15,0.01232332,2.53226688,0.012263639,0.156376565,0.831326,0.825522,2.112003082,1.280677082,8.100139,8.157098,20.72419863,0.4417875,7.5,38.2,37.93,18.79,18.31,18.31,101.91,120.3,120.1,0.1,1252,3.84,11:07:13,3/8/24,0.17,1,0,-0.001,-9999,-0.004,-0.003,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.482611,2.493728,1.356723,0.844132,0.349798,-0.005361,0.208752,1.194152,55.205227,0.000132,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
16,11:08:07,3/8/24,Eschscholzia_californica,t,AD_3,"37.7243871, -122.4761982","\""Petals \""",Kevin Simonin,16,0.038424333,2.53226688,0.037850001,0.562333677,0.851621,0.830747,2.342257186,1.490636186,8.150154,8.354939,22.9790757,0.4417875,7.5,39.03,38.07,18.83,19.97,19.97,101.93,120.3,120.3,0,55,3.839,11:07:13,3/8/24,0.17,1,-0.001,0,-9999,-0.003,-0.003,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.482818,2.49499,1.356857,0.844461,0.349222,0.012644,0.209771,0.15426,55.134773,0.000129,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
17,11:08:48,3/8/24,Eschscholzia_californica,t,AD_3,"37.7243871, -122.4761982","\""Petals \""",Kevin Simonin,17,0.021314772,2.52969032,0.021136677,0.296237368,0.866971,0.855957,2.273519815,1.406548815,8.397256,8.5053,22.30471711,0.4417875,7.5,39.35,38.85,18.99,19.49,19.49,101.93,120.1,120.2,0,57,3.839,11:07:13,3/8/24,0.17,1,-0.001,-0.001,0.018,-0.001,-0.003,-0.006,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.483958,2.495444,1.355861,0.844316,0.347048,0.005537,0.212612,0.156432,54.950596,0.000133,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
18,11:09:05,3/8/24,Eschscholzia_californica,t,AD_3,"37.7243871, -122.4761982","\""Petals \""",Kevin Simonin,18,0.02977193,2.534838,0.029426315,0.417138296,0.844993,0.829534,2.267872343,1.422879343,8.138414,8.290081,22.24931172,0.4417875,7.5,38.2,37.5,19.05,19.45,19.45,101.93,120.5,120,0.4,43,3.837,11:07:13,3/8/24,0.17,1,0,0,-9999,0.002,-0.005,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.481903,2.493676,1.358865,0.843936,0.346156,0.004373,0.213748,0.144036,54.854034,0.00013,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
19,11:10:53,3/8/24,Eschscholzia_californica,b,AD_4,"37.7243871, -122.4761982","\""Petals \""",Kevin Simonin,19,0.090282851,2.53355312,0.087176333,1.604854985,0.921539,0.862064,2.763891473,1.842352473,8.458238,9.041788,27.11824444,0.4417875,7.5,40.27,37.67,19.6,22.67,22.67,101.92,120.4,120.3,0.1,1625,3.837,11:07:13,3/8/24,0.17,1,-0.001,-0.003,-0.01,-0.001,-0.004,-0.006,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.482038,2.4967,1.35796,0.84454,0.338634,0.034626,0.221079,1.518011,54.368378,0.000129,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
20,11:11:11,3/8/24,Eschscholzia_californica,b,AD_4,"37.7243871, -122.4761982","\""Petals \""",Kevin Simonin,20,0.004942704,2.53612152,0.00493309,0.102876927,0.860945,0.857136,2.946742378,2.085797378,8.410038,8.447406,28.91230747,0.4417875,7.5,37.4,37.24,19.69,23.73,23.73,101.92,120.6,120.3,0.3,1968,3.837,11:07:13,3/8/24,0.17,1,0.001,0.002,-9999,-0.006,-0.004,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.48137,2.492324,1.359083,0.844424,0.337388,0.045859,0.222275,1.815142,54.309368,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
21,11:11:34,3/8/24,Eschscholzia_californica,b,AD_4,"37.7243871, -122.4761982","\""Petals \""",Kevin Simonin,21,0.038652791,2.534838,0.038072242,0.562650795,0.87146,0.850617,2.353888717,1.482428717,8.346272,8.550792,23.09545445,0.4417875,7.5,37.67,36.77,19.77,20.05,20.05,101.92,120.5,120.3,0.1,749,3.835,11:07:13,3/8/24,0.17,1,-0.001,0,-9999,-0.004,-0.002,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.480639,2.492714,1.358239,0.844628,0.336283,0.002962,0.223767,0.757481,54.249645,0.00013,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
22,11:12:14,3/8/24,Eschscholzia_californica,t,AD_4,"37.7243871, -122.4761982","\""Petals \""",Kevin Simonin,22,0.006973319,2.53226688,0.006954169,0.109063154,0.840023,0.835975,2.412808825,1.572785825,8.203318,8.24304,23.67587896,0.4417875,7.5,35.99,35.81,19.91,20.45,20.45,101.91,120.3,120,0.2,102,3.836,11:07:13,3/8/24,0.17,1,0,0.001,-9999,0,-0.005,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.479154,2.490098,1.356857,0.843791,0.334334,0.005721,0.226261,0.194972,54.035069,0.000132,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
23,11:12:44,3/8/24,Eschscholzia_californica,t,AD_4,"37.7243871, -122.4761982","\""Petals \""",Kevin Simonin,23,0.004797807,2.53355312,0.004788739,0.072000308,0.845844,0.843175,2.353888717,1.508044717,8.274509,8.300709,23.09998741,0.4417875,7.5,36.06,35.94,20,20.05,20.05,101.9,120.4,120,0.4,92,3.835,11:07:13,3/8/24,0.17,1,0.001,0.002,-9999,-0.003,-0.006,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.479332,2.490187,1.357898,0.843777,0.33325,0.000346,0.22826,0.186825,53.882362,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
24,11:13:03,3/8/24,Eschscholzia_californica,t,AD_4,"37.7243871, -122.4761982","\""Petals \""",Kevin Simonin,24,0.002913544,2.53226688,0.002910196,0.043300263,0.842626,0.841019,2.335013082,1.492387082,8.254429,8.270199,22.91699952,0.4417875,7.5,35.82,35.75,20.04,19.92,19.92,101.89,120.3,120.2,0.1,90,3.835,11:07:13,3/8/24,0.17,1,-0.001,-0.001,-9999,-0.003,-0.004,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.479025,2.489807,1.357221,0.844198,0.332629,-0.001559,0.229489,0.185195,53.771496,0.000132,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
25,11:18:50,3/8/24,Eschscholzia_californica,b,AD_5,"37.7243871, -122.4761982","\""Petals \""",Kevin Simonin,25,0.001459299,2.534838,0.00145846,0.035339351,0.852684,0.851375,3.271816763,2.419132763,8.355046,8.367894,32.10811348,0.4417875,7.5,34.44,34.39,20.87,25.48,25.48,101.9,120.5,120,0.4,1950,3.83,11:07:13,3/8/24,0.17,1,0,0.001,-9999,-0.002,-0.006,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.476775,2.487514,1.358324,0.84388,0.321768,0.052909,0.252574,1.799481,52.176117,0.000132,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
26,11:19:15,3/8/24,Eschscholzia_californica,b,AD_5,"37.7243871, -122.4761982","\""Petals \""",Kevin Simonin,26,0.000538863,2.53226688,0.000538749,0.010853059,0.834946,0.834543,2.850588445,2.015642445,8.189787,8.19374,27.9743714,0.4417875,7.5,33.54,33.52,20.96,23.18,23.18,101.9,120.3,119.9,0.3,1834,3.83,11:19:03,3/8/24,0.14,1,0,0.002,-9999,-0.004,0,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.475431,2.486145,1.357049,0.843688,0.320629,0.024928,0.254112,1.69952,52.077412,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
27,11:19:30,3/8/24,Eschscholzia_californica,b,AD_5,"37.7243871, -122.4761982","\""Petals \""",Kevin Simonin,27,0.003669533,2.53097928,0.00366422,0.08577416,0.868718,0.865533,3.206314307,2.337596307,8.493528,8.524785,31.46530232,0.4417875,7.5,34.79,34.67,21.01,25.14,25.14,101.9,120.2,120.3,0,1863,3.83,11:19:03,3/8/24,0.14,1,0,0.001,-9999,0.001,0.004,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.477173,2.488079,1.356336,0.844422,0.319999,0.047267,0.255028,1.724477,52.071335,0.000133,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
28,11:19:55,3/8/24,Eschscholzia_californica,t,AD_5,"37.7243871, -122.4761982","\""Petals \""",Kevin Simonin,28,0.041861671,2.53226688,0.041180897,0.742651308,0.868748,0.841191,2.674617855,1.805869855,8.254131,8.524536,26.24490094,0.4417875,7.5,34.65,33.55,21.07,22.13,22.13,101.91,120.3,120.2,0.1,82,3.829,11:19:03,3/8/24,0.14,1,0,0.001,-9999,-0.004,-0.005,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.475444,2.487839,1.357006,0.844349,0.319116,0.0115,0.256421,0.177755,51.987648,0.00013,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
29,11:20:33,3/8/24,Eschscholzia_californica,t,AD_5,"37.7243871, -122.4761982","\""Petals \""",Kevin Simonin,29,0.010510708,2.53355312,0.010467283,0.203484505,0.914751,0.907211,2.859214815,1.944463815,8.902185,8.97618,28.05627333,0.4417875,7.5,36.21,35.92,21.19,23.23,23.23,101.91,120.4,119.9,0.5,90,3.829,11:19:03,3/8/24,0.14,1,0.001,0.001,-9999,-0.001,0,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.479044,2.490232,1.358062,0.843518,0.317589,0.022718,0.258602,0.184866,51.887512,0.000132,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
30,11:20:47,3/8/24,Eschscholzia_californica,t,AD_5,"37.7243871, -122.4761982","\""Petals \""",Kevin Simonin,30,0.011016009,2.53226688,0.010968294,0.213175134,0.930868,0.922962,2.874799834,1.943931834,9.056149,9.13372,28.2064348,0.4417875,7.5,36.74,36.42,21.25,23.32,23.32,101.92,120.3,119.8,0.4,107,3.827,11:19:03,3/8/24,0.14,1,-0.001,0.001,-9999,-0.002,-0.004,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.479805,2.491022,1.356912,0.843406,0.316933,0.023172,0.259383,0.199877,51.834225,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
31,11:23:59,3/8/24,Eschscholzia_californica,b,AD_6,"37.7243871, -122.4761982","\""Petals \""",Kevin Simonin,31,-0.00305809,2.53355312,-0.003061786,-0.050684159,1.00664,1.008517,2.663232193,1.656592193,9.895858,9.877444,26.13317823,0.4417875,7.5,38.59,38.67,21.72,22.06,22.06,101.91,120.4,120,0.3,267,3.826,11:19:03,3/8/24,0.14,1,-0.002,0,-9999,-0.003,-0.003,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.483085,2.493753,1.35792,0.843897,0.310982,0.003352,0.270627,0.3387,51.093578,0.000132,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
32,11:24:16,3/8/24,Eschscholzia_californica,b,AD_6,"37.7243871, -122.4761982","\""Petals \""",Kevin Simonin,32,0.00818785,2.5284,0.008161421,0.133462526,0.99573,0.990771,2.632541825,1.636811825,9.721617,9.770272,25.83202654,0.4417875,7.5,38.09,37.9,21.75,21.87,21.87,101.91,120,120,0.1,229,3.825,11:19:03,3/8/24,0.14,1,0.001,0,-9999,0,-0.005,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.48193,2.492983,1.355105,0.843796,0.310535,0.000758,0.271632,0.305129,51.041721,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
33,11:24:32,3/8/24,Eschscholzia_californica,b,AD_6,"37.7243871, -122.4761982","\""Petals \""",Kevin Simonin,33,0.002617459,2.53226688,0.002614757,0.04193188,1.058768,1.057215,2.663232193,1.604464193,10.374161,10.3894,26.13317823,0.4417875,7.5,40.41,40.35,21.79,22.06,22.06,101.91,120.3,120.1,0.2,217,3.826,11:19:03,3/8/24,0.14,1,0.001,-0.002,-9999,-0.001,-0.006,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.485584,2.496479,1.35727,0.843983,0.310058,0.002504,0.272601,0.295132,50.994514,0.000132,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2024-02-26T22:09:53.446Z
