"Sample","Time","Temp_C","Humidity_RH","Dew_Point_C","Comments","Serial_Number","site"
53,"3/6/25 22:36",8,83.5,5.4,NA,"065051692","CojoHQ"
54,"3/6/25 23:06",7.5,85.5,5.2,NA,"065051692","CojoHQ"
55,"3/6/25 23:36",8,85.5,5.7,NA,"065051692","CojoHQ"
56,"3/7/25 00:06",8.5,85,6.1,NA,"065051692","CojoHQ"
57,"3/7/25 00:36",8.5,84.5,6,NA,"065051692","CojoHQ"
58,"3/7/25 01:06",8.5,82,5.6,NA,"065051692","CojoHQ"
59,"3/7/25 01:36",8,80.5,4.9,NA,"065051692","CojoHQ"
60,"3/7/25 02:06",8.5,80,5.3,NA,"065051692","CojoHQ"
61,"3/7/25 02:36",8.5,79,5.1,NA,"065051692","CojoHQ"
62,"3/7/25 03:06",8,79.5,4.7,NA,"065051692","CojoHQ"
63,"3/7/25 03:36",8.5,81.5,5.5,NA,"065051692","CojoHQ"
64,"3/7/25 04:06",8.5,79.5,5.2,NA,"065051692","CojoHQ"
65,"3/7/25 04:36",8.5,78.5,5,NA,"065051692","CojoHQ"
66,"3/7/25 05:06",8.5,77.5,4.8,NA,"065051692","CojoHQ"
67,"3/7/25 05:36",8,81,4.9,NA,"065051692","CojoHQ"
68,"3/7/25 06:06",8,81.5,5,NA,"065051692","CojoHQ"
69,"3/7/25 06:36",8,81.5,5,NA,"065051692","CojoHQ"
70,"3/7/25 07:06",10.5,74.5,6.2,NA,"065051692","CojoHQ"
71,"3/7/25 07:36",12.5,68,6.8,NA,"065051692","CojoHQ"
72,"3/7/25 08:06",14,66.5,7.9,NA,"065051692","CojoHQ"
73,"3/7/25 08:36",15.5,61.5,8.1,NA,"065051692","CojoHQ"
74,"3/7/25 09:06",17,56.5,8.3,NA,"065051692","CojoHQ"
75,"3/7/25 09:36",17.5,55,8.4,NA,"065051692","CojoHQ"
76,"3/7/25 10:06",18,54.5,8.7,NA,"065051692","CojoHQ"
77,"3/7/25 10:36",19,54,9.5,NA,"065051692","CojoHQ"
78,"3/7/25 11:06",19.5,52,9.4,NA,"065051692","CojoHQ"
79,"3/7/25 11:36",19,54,9.5,NA,"065051692","CojoHQ"
80,"3/7/25 12:06",19,53.5,9.4,NA,"065051692","CojoHQ"
81,"3/7/25 12:36",19.5,52,9.4,NA,"065051692","CojoHQ"
82,"3/7/25 13:06",19,52,8.9,NA,"065051692","CojoHQ"
83,"3/7/25 13:36",19.5,51.5,9.2,NA,"065051692","CojoHQ"
84,"3/7/25 14:06",19,52.5,9.1,NA,"065051692","CojoHQ"
85,"3/7/25 14:36",18.5,52.5,8.6,NA,"065051692","CojoHQ"
86,"3/7/25 15:06",18,54.5,8.7,NA,"065051692","CojoHQ"
87,"3/7/25 15:36",16.5,58,8.2,NA,"065051692","CojoHQ"
88,"3/7/25 16:06",14,65.5,7.6,NA,"065051692","CojoHQ"
89,"3/7/25 16:36",13,68.5,7.3,NA,"065051692","CojoHQ"
90,"3/7/25 17:06",12.5,71.5,7.5,NA,"065051692","CojoHQ"
91,"3/7/25 17:36",12,71,6.9,NA,"065051692","CojoHQ"
92,"3/7/25 18:06",10.5,75.5,6.4,NA,"065051692","CojoHQ"
93,"3/7/25 18:36",10,77,6.2,NA,"065051692","CojoHQ"
94,"3/7/25 19:06",9.5,78.5,6,NA,"065051692","CojoHQ"
95,"3/7/25 19:36",9.5,82,6.6,NA,"065051692","CojoHQ"
96,"3/7/25 20:06",9.5,80.5,6.3,NA,"065051692","CojoHQ"
97,"3/7/25 20:36",9.5,82,6.6,NA,"065051692","CojoHQ"
98,"3/7/25 21:06",8,84,5.5,NA,"065051692","CojoHQ"
99,"3/7/25 21:36",8.5,83,5.8,NA,"065051692","CojoHQ"
100,"3/7/25 22:06",7.5,90,6,NA,"065051692","CojoHQ"
101,"3/7/25 22:36",9,85,6.6,NA,"065051692","CojoHQ"
102,"3/7/25 23:06",9.5,81,6.4,NA,"065051692","CojoHQ"
103,"3/7/25 23:36",9.5,77.5,5.8,NA,"065051692","CojoHQ"
104,"3/8/25 00:06",9,75,4.8,NA,"065051692","CojoHQ"
105,"3/8/25 00:36",9.5,71,4.5,NA,"065051692","CojoHQ"
106,"3/8/25 01:06",9.5,68.5,4,NA,"065051692","CojoHQ"
107,"3/8/25 01:36",10.5,62,3.5,NA,"065051692","CojoHQ"
108,"3/8/25 02:06",11,58.5,3.2,NA,"065051692","CojoHQ"
109,"3/8/25 02:36",10.5,59.5,3,NA,"065051692","CojoHQ"
110,"3/8/25 03:06",10.5,54,1.6,NA,"065051692","CojoHQ"
111,"3/8/25 03:36",8,63,1.4,NA,"065051692","CojoHQ"
112,"3/8/25 04:06",10.5,50.5,0.7,NA,"065051692","CojoHQ"
113,"3/8/25 04:36",8,61.5,1.1,NA,"065051692","CojoHQ"
114,"3/8/25 05:06",7,64,0.7,NA,"065051692","CojoHQ"
115,"3/8/25 05:36",5.5,69.5,0.4,NA,"065051692","CojoHQ"
116,"3/8/25 06:06",4.5,69,-0.7,NA,"065051692","CojoHQ"
117,"3/8/25 06:36",4.5,69,-0.7,NA,"065051692","CojoHQ"
118,"3/8/25 07:06",11.5,48.5,1,NA,"065051692","CojoHQ"
119,"3/8/25 07:36",16,39,2.1,NA,"065051692","CojoHQ"
120,"3/8/25 08:06",16,46.5,4.6,NA,"065051692","CojoHQ"
121,"3/8/25 08:36",17,45.5,5.2,NA,"065051692","CojoHQ"
122,"3/8/25 09:06",16.5,52,6.6,NA,"065051692","CojoHQ"
123,"3/8/25 09:36",16,56,7.2,NA,"065051692","CojoHQ"
124,"3/8/25 10:06",17,55,7.9,NA,"065051692","CojoHQ"
125,"3/8/25 10:36",18.5,51,8.2,NA,"065051692","CojoHQ"
126,"3/8/25 11:06",19,40.5,5.3,NA,"065051692","CojoHQ"
127,"3/8/25 11:36",18.5,44,6,NA,"065051692","CojoHQ"
128,"3/8/25 12:06",20,38,5.3,NA,"065051692","CojoHQ"
129,"3/8/25 12:36",20.5,33.5,3.9,NA,"065051692","CojoHQ"
130,"3/8/25 13:06",20.5,34.5,4.3,NA,"065051692","CojoHQ"
131,"3/8/25 13:36",20,35,4.1,NA,"065051692","CojoHQ"
132,"3/8/25 14:06",21,35.5,5.2,NA,"065051692","CojoHQ"
133,"3/8/25 14:36",21,26,0.8,NA,"065051692","CojoHQ"
134,"3/8/25 15:06",20.5,37,5.3,NA,"065051692","CojoHQ"
135,"3/8/25 15:36",20,35,4.1,NA,"065051692","CojoHQ"
136,"3/8/25 16:06",16.5,47.5,5.3,NA,"065051692","CojoHQ"
137,"3/8/25 16:36",16,45,4.1,NA,"065051692","CojoHQ"
138,"3/8/25 17:06",14,50.5,3.9,NA,"065051692","CojoHQ"
139,"3/8/25 17:36",12,57.5,3.9,NA,"065051692","CojoHQ"
140,"3/8/25 18:06",10.5,68,4.9,NA,"065051692","CojoHQ"
141,"3/8/25 18:36",8.5,60.5,1.3,NA,"065051692","CojoHQ"
142,"3/8/25 19:06",7,62,0.2,NA,"065051692","CojoHQ"
143,"3/8/25 19:36",7.5,57.5,-0.3,NA,"065051692","CojoHQ"
144,"3/8/25 20:06",6.5,64.5,0.3,NA,"065051692","CojoHQ"
145,"3/8/25 20:36",6.5,61,-0.5,NA,"065051692","CojoHQ"
146,"3/8/25 21:06",7,55.5,-1.3,NA,"065051692","CojoHQ"
147,"3/8/25 21:36",8,52,-1.2,NA,"065051692","CojoHQ"
148,"3/8/25 22:06",7.5,55.5,-0.8,NA,"065051692","CojoHQ"
149,"3/8/25 22:36",8,55.5,-0.4,NA,"065051692","CojoHQ"
150,"3/8/25 23:06",7,62,0.2,NA,"065051692","CojoHQ"
151,"3/8/25 23:36",6,66.5,0.2,NA,"065051692","CojoHQ"
152,"3/9/25 00:06",5,68,-0.4,NA,"065051692","CojoHQ"
153,"3/9/25 00:36",5.5,66,-0.3,NA,"065051692","CojoHQ"
154,"3/9/25 01:06",4.5,69.5,-0.6,NA,"065051692","CojoHQ"
155,"3/9/25 01:36",3.5,72,-1.1,NA,"065051692","CojoHQ"
156,"3/9/25 02:06",3,75,-1,NA,"065051692","CojoHQ"
157,"3/9/25 02:36",3,79.5,-0.2,NA,"065051692","CojoHQ"
158,"3/9/25 03:06",4,91.5,2.7,NA,"065051692","CojoHQ"
159,"3/9/25 03:36",7,70.5,2,NA,"065051692","CojoHQ"
160,"3/9/25 04:06",7.5,85,5.1,NA,"065051692","CojoHQ"
161,"3/9/25 04:36",7.5,86,5.3,NA,"065051692","CojoHQ"
162,"3/9/25 05:06",6.5,90,5,NA,"065051692","CojoHQ"
163,"3/9/25 05:36",7,94.5,6.2,NA,"065051692","CojoHQ"
164,"3/9/25 06:06",7.5,94,6.6,NA,"065051692","CojoHQ"
165,"3/9/25 06:36",7.5,95,6.8,NA,"065051692","CojoHQ"
166,"3/9/25 07:06",8.5,93,7.4,NA,"065051692","CojoHQ"
167,"3/9/25 07:36",13,77.5,9.2,NA,"065051692","CojoHQ"
168,"3/9/25 08:06",13.5,74,9,NA,"065051692","CojoHQ"
169,"3/9/25 08:36",13.5,74,9,NA,"065051692","CojoHQ"
170,"3/9/25 09:06",11.5,80.5,8.3,NA,"065051692","CojoHQ"
171,"3/9/25 09:36",14.5,71,9.3,NA,"065051692","CojoHQ"
172,"3/9/25 10:06",19,57,10.3,NA,"065051692","CojoHQ"
173,"3/9/25 10:36",18.5,56,9.6,NA,"065051692","CojoHQ"
174,"3/9/25 11:06",19,52.5,9.1,NA,"065051692","CojoHQ"
175,"3/9/25 11:36",20,50.5,9.4,NA,"065051692","CojoHQ"
176,"3/9/25 12:06",20,48.5,8.8,NA,"065051692","CojoHQ"
177,"3/9/25 12:36",20,49.5,9.1,NA,"065051692","CojoHQ"
178,"3/9/25 13:06",20,49.5,9.1,NA,"065051692","CojoHQ"
179,"3/9/25 13:36",19.5,50.5,9,NA,"065051692","CojoHQ"
180,"3/9/25 14:06",19,52.5,9.1,NA,"065051692","CojoHQ"
181,"3/9/25 14:36",18,55,8.8,NA,"065051692","CojoHQ"
182,"3/9/25 15:06",18.5,53,8.7,NA,"065051692","CojoHQ"
183,"3/9/25 15:36",18,53.5,8.4,NA,"065051692","CojoHQ"
184,"3/9/25 16:06",14.5,54.5,5.4,NA,"065051692","CojoHQ"
185,"3/9/25 16:36",14,52,4.3,NA,"065051692","CojoHQ"
186,"3/9/25 17:06",13,60.5,5.5,NA,"065051692","CojoHQ"
187,"3/9/25 17:36",11.5,69,6,NA,"065051692","CojoHQ"
188,"3/9/25 18:06",10,73,5.4,NA,"065051692","CojoHQ"
189,"3/9/25 18:36",8.5,70,3.4,NA,"065051692","CojoHQ"
190,"3/9/25 19:06",8.5,75.5,4.4,NA,"065051692","CojoHQ"
191,"3/9/25 19:36",7.5,78,3.9,NA,"065051692","CojoHQ"
192,"3/9/25 20:06",6.5,82.5,3.7,NA,"065051692","CojoHQ"
193,"3/9/25 20:36",5.5,85.5,3.3,NA,"065051692","CojoHQ"
194,"3/9/25 21:06",5.5,84.5,3.1,NA,"065051692","CojoHQ"
195,"3/9/25 21:36",5,83,2.4,NA,"065051692","CojoHQ"
196,"3/9/25 22:06",4,85,1.7,NA,"065051692","CojoHQ"
197,"3/9/25 22:36",4,77.5,0.4,NA,"065051692","CojoHQ"
198,"3/9/25 23:06",3.5,71,-1.3,NA,"065051692","CojoHQ"
199,"3/9/25 23:36",3,69.5,-2,NA,"065051692","CojoHQ"
200,"3/10/25 00:06",3,71,-1.7,NA,"065051692","CojoHQ"
201,"3/10/25 00:36",3,74,-1.2,NA,"065051692","CojoHQ"
202,"3/10/25 01:06",2,78,-1.4,NA,"065051692","CojoHQ"
203,"3/10/25 01:36",2,81.5,-0.8,NA,"065051692","CojoHQ"
204,"3/10/25 02:06",4,81,1,NA,"065051692","CojoHQ"
205,"3/10/25 02:36",5.5,91.5,4.2,NA,"065051692","CojoHQ"
206,"3/10/25 03:06",6.5,86.5,4.4,NA,"065051692","CojoHQ"
207,"3/10/25 03:36",7,76.5,3.2,NA,"065051692","CojoHQ"
208,"3/10/25 04:06",6,73.5,1.6,NA,"065051692","CojoHQ"
209,"3/10/25 04:36",5,73,0.6,NA,"065051692","CojoHQ"
210,"3/10/25 05:06",3,80,-0.1,NA,"065051692","CojoHQ"
211,"3/10/25 05:36",2,85.5,-0.2,NA,"065051692","CojoHQ"
212,"3/10/25 06:06",2,86,-0.1,NA,"065051692","CojoHQ"
213,"3/10/25 06:36",2.5,90.5,1.1,NA,"065051692","CojoHQ"
214,"3/10/25 07:06",7.5,76,3.6,NA,"065051692","CojoHQ"
215,"3/10/25 07:36",14,72,9,NA,"065051692","CojoHQ"
216,"3/10/25 08:06",15.5,67.5,9.5,NA,"065051692","CojoHQ"
217,"3/10/25 08:36",16,62.5,8.8,NA,"065051692","CojoHQ"
218,"3/10/25 09:06",16.5,57,8,NA,"065051692","CojoHQ"
219,"3/10/25 09:36",16,65,9.4,NA,"065051692","CojoHQ"
220,"3/10/25 10:06",16,64.5,9.3,NA,"065051692","CojoHQ"
221,"3/10/25 10:36",16,55,7,NA,"065051692","CojoHQ"
222,"3/10/25 11:06",17,56,8.2,NA,"065051692","CojoHQ"
223,"3/10/25 11:36",16.5,59,8.5,NA,"065051692","CojoHQ"
224,"3/10/25 12:06",16,57,7.5,NA,"065051692","CojoHQ"
225,"3/10/25 12:36",17,51.5,6.9,NA,"065051692","CojoHQ"
226,"3/10/25 13:06",18.5,43,5.7,NA,"065051692","CojoHQ"
227,"3/10/25 13:36",17.5,45.5,5.6,NA,"065051692","CojoHQ"
228,"3/10/25 14:06",17,48,5.9,NA,"065051692","CojoHQ"
229,"3/10/25 14:36",17,52.5,7.2,NA,"065051692","CojoHQ"
230,"3/10/25 15:06",16.5,50,6.1,NA,"065051692","CojoHQ"
231,"3/10/25 15:36",15.5,55.5,6.6,NA,"065051692","CojoHQ"
232,"3/10/25 16:06",14.5,57.5,6.2,NA,"065051692","CojoHQ"
233,"3/10/25 16:36",14,61,6.6,NA,"065051692","CojoHQ"
234,"3/10/25 17:06",13,61.5,5.8,NA,"065051692","CojoHQ"
235,"3/10/25 17:36",12.5,63.5,5.8,NA,"065051692","CojoHQ"
236,"3/10/25 18:06",12,62,5,NA,"065051692","CojoHQ"
237,"3/10/25 18:36",11.5,63,4.7,NA,"065051692","CojoHQ"
238,"3/10/25 19:06",12,59.5,4.4,NA,"065051692","CojoHQ"
239,"3/10/25 19:36",12,61,4.7,NA,"065051692","CojoHQ"
240,"3/10/25 20:06",11,72,6.2,NA,"065051692","CojoHQ"
241,"3/10/25 20:36",11,59,3.3,NA,"065051692","CojoHQ"
242,"3/10/25 21:06",11.5,56,3,NA,"065051692","CojoHQ"
243,"3/10/25 21:36",12,51.5,2.3,NA,"065051692","CojoHQ"
244,"3/10/25 22:06",11.5,55.5,2.9,NA,"065051692","CojoHQ"
245,"3/10/25 22:36",12,59,4.2,NA,"065051692","CojoHQ"
246,"3/10/25 23:06",12,73.5,7.4,NA,"065051692","CojoHQ"
247,"3/10/25 23:36",12,72,7.1,NA,"065051692","CojoHQ"
248,"3/11/25 00:06",12.5,59.5,4.8,NA,"065051692","CojoHQ"
249,"3/11/25 00:36",12.5,55.5,3.8,NA,"065051692","CojoHQ"
250,"3/11/25 01:06",12,58.5,4.1,NA,"065051692","CojoHQ"
251,"3/11/25 01:36",12,65.5,5.7,NA,"065051692","CojoHQ"
252,"3/11/25 02:06",12,66,5.9,NA,"065051692","CojoHQ"
253,"3/11/25 02:36",12,67,6.1,NA,"065051692","CojoHQ"
254,"3/11/25 03:06",11.5,75,7.2,NA,"065051692","CojoHQ"
255,"3/11/25 03:36",11.5,69.5,6.1,NA,"065051692","CojoHQ"
256,"3/11/25 04:06",11.5,66,5.4,NA,"065051692","CojoHQ"
257,"3/11/25 04:36",12.5,62,5.4,NA,"065051692","CojoHQ"
258,"3/11/25 05:06",11.5,72.5,6.7,NA,"065051692","CojoHQ"
259,"3/11/25 05:36",11,73.5,6.5,NA,"065051692","CojoHQ"
260,"3/11/25 06:06",10.5,77.5,6.7,NA,"065051692","CojoHQ"
261,"3/11/25 06:36",9.5,86.5,7.4,NA,"065051692","CojoHQ"
262,"3/11/25 07:06",9.5,89,7.8,NA,"065051692","CojoHQ"
263,"3/11/25 07:36",9.5,86,7.3,NA,"065051692","CojoHQ"
264,"3/11/25 08:06",10.5,84.5,8,NA,"065051692","CojoHQ"
265,"3/11/25 08:36",11,81.5,8,NA,"065051692","CojoHQ"
266,"3/11/25 09:06",11.5,78,7.8,NA,"065051692","CojoHQ"
267,"3/11/25 09:36",13,74,8.5,NA,"065051692","CojoHQ"
268,"3/11/25 10:06",13.5,71,8.4,NA,"065051692","CojoHQ"
269,"3/11/25 10:36",14.5,69,8.9,NA,"065051692","CojoHQ"
270,"3/11/25 11:06",16,68,10.1,NA,"065051692","CojoHQ"
271,"3/11/25 11:36",15.5,68.5,9.7,NA,"065051692","CojoHQ"
272,"3/11/25 12:06",16,67.5,10,NA,"065051692","CojoHQ"
273,"3/11/25 12:36",16,65.5,9.5,NA,"065051692","CojoHQ"
274,"3/11/25 13:06",16,63.5,9.1,NA,"065051692","CojoHQ"
275,"3/11/25 13:36",16,62,8.7,NA,"065051692","CojoHQ"
276,"3/11/25 14:06",17,59,8.9,NA,"065051692","CojoHQ"
277,"3/11/25 14:36",17,61.5,9.6,NA,"065051692","CojoHQ"
278,"3/11/25 15:06",16.5,63,9.4,NA,"065051692","CojoHQ"
279,"3/11/25 15:36",16.5,63,9.4,NA,"065051692","CojoHQ"
280,"3/11/25 16:06",14.5,68,8.7,NA,"065051692","CojoHQ"
281,"3/11/25 16:36",14,68.5,8.3,NA,"065051692","CojoHQ"
282,"3/11/25 17:06",14,68.5,8.3,NA,"065051692","CojoHQ"
283,"3/11/25 17:36",13.5,70.5,8.2,NA,"065051692","CojoHQ"
284,"3/11/25 18:06",12.5,74.5,8.1,NA,"065051692","CojoHQ"
285,"3/11/25 18:36",12,75,7.7,NA,"065051692","CojoHQ"
286,"3/11/25 19:06",11.5,76,7.4,NA,"065051692","CojoHQ"
287,"3/11/25 19:36",11,78.5,7.4,NA,"065051692","CojoHQ"
288,"3/11/25 20:06",10.5,81,7.4,NA,"065051692","CojoHQ"
289,"3/11/25 20:36",10.5,81,7.4,NA,"065051692","CojoHQ"
290,"3/11/25 21:06",11.5,78,7.8,NA,"065051692","CojoHQ"
291,"3/11/25 21:36",11.5,75.5,7.3,NA,"065051692","CojoHQ"
292,"3/11/25 22:06",11,76.5,7,NA,"065051692","CojoHQ"
293,"3/11/25 22:36",11,77,7.1,NA,"065051692","CojoHQ"
294,"3/11/25 23:06",10,80,6.7,NA,"065051692","CojoHQ"
295,"3/11/25 23:36",9,84.5,6.5,NA,"065051692","CojoHQ"
296,"3/12/25 00:06",8.5,86.5,6.4,NA,"065051692","CojoHQ"
297,"3/12/25 00:36",8.5,86,6.3,NA,"065051692","CojoHQ"
298,"3/12/25 01:06",8,88.5,6.2,NA,"065051692","CojoHQ"
299,"3/12/25 01:36",7,91,5.6,NA,"065051692","CojoHQ"
300,"3/12/25 02:06",7,91,5.6,NA,"065051692","CojoHQ"
301,"3/12/25 02:36",7,93.5,6,NA,"065051692","CojoHQ"
302,"3/12/25 03:06",8,94,7.1,NA,"065051692","CojoHQ"
303,"3/12/25 03:36",9,93,7.9,NA,"065051692","CojoHQ"
304,"3/12/25 04:06",10.5,88,8.6,NA,"065051692","CojoHQ"
305,"3/12/25 04:36",10.5,88,8.6,NA,"065051692","CojoHQ"
306,"3/12/25 05:06",11,86,8.8,NA,"065051692","CojoHQ"
307,"3/12/25 05:36",10.5,87,8.4,NA,"065051692","CojoHQ"
308,"3/12/25 06:06",10.5,86.5,8.3,NA,"065051692","CojoHQ"
309,"3/12/25 06:36",11,87.5,9,NA,"065051692","CojoHQ"
310,"3/12/25 07:06",11.5,89.5,9.8,NA,"065051692","CojoHQ"
311,"3/12/25 07:36",12,90,10.4,NA,"065051692","CojoHQ"
312,"3/12/25 08:06",12.5,89,10.7,NA,"065051692","CojoHQ"
313,"3/12/25 08:36",12.5,90,10.9,NA,"065051692","CojoHQ"
314,"3/12/25 09:06",13,89,11.2,NA,"065051692","CojoHQ"
315,"3/12/25 09:36",14.5,82.5,11.6,NA,"065051692","CojoHQ"
316,"3/12/25 10:06",14.5,83.5,11.7,NA,"065051692","CojoHQ"
317,"3/12/25 10:36",17.5,76,13.2,NA,"065051692","CojoHQ"
318,"3/12/25 11:06",14.5,81.5,11.4,NA,"065051692","CojoHQ"
319,"3/12/25 11:36",14.5,80,11.1,NA,"065051692","CojoHQ"
320,"3/12/25 12:06",16,75,11.6,NA,"065051692","CojoHQ"
321,"3/12/25 12:36",16,76.5,11.9,NA,"065051692","CojoHQ"
322,"3/12/25 13:06",18,71,12.7,NA,"065051692","CojoHQ"
323,"3/12/25 13:36",16.5,76,12.3,NA,"065051692","CojoHQ"
324,"3/12/25 14:06",16,76.5,11.9,NA,"065051692","CojoHQ"
325,"3/12/25 14:36",14.5,81,11.3,NA,"065051692","CojoHQ"
326,"3/12/25 15:06",14,84.5,11.4,NA,"065051692","CojoHQ"
327,"3/12/25 15:36",14,80.5,10.7,NA,"065051692","CojoHQ"
328,"3/12/25 16:06",13.5,81.5,10.4,NA,"065051692","CojoHQ"
329,"3/12/25 16:36",13,82.5,10.1,NA,"065051692","CojoHQ"
330,"3/12/25 17:06",13,88,11.1,NA,"065051692","CojoHQ"
331,"3/12/25 17:36",12.5,89,10.7,NA,"065051692","CojoHQ"
332,"3/12/25 18:06",12.5,93.5,11.5,NA,"065051692","CojoHQ"
333,"3/12/25 18:36",12.5,95,11.7,NA,"065051692","CojoHQ"
334,"3/12/25 19:06",12.5,94.5,11.6,NA,"065051692","CojoHQ"
335,"3/12/25 19:36",11,94,10.1,NA,"065051692","CojoHQ"
336,"3/12/25 20:06",10,93,8.9,NA,"065051692","CojoHQ"
337,"3/12/25 20:36",9.5,94,8.6,NA,"065051692","CojoHQ"
338,"3/12/25 21:06",9.5,94.5,8.7,NA,"065051692","CojoHQ"
339,"3/12/25 21:36",9.5,95,8.7,NA,"065051692","CojoHQ"
340,"3/12/25 22:06",9.5,95.5,8.8,NA,"065051692","CojoHQ"
341,"3/12/25 22:36",9,95.5,8.3,NA,"065051692","CojoHQ"
342,"3/12/25 23:06",9,97,8.5,NA,"065051692","CojoHQ"
343,"3/12/25 23:36",8.5,97.5,8.1,NA,"065051692","CojoHQ"
344,"3/13/25 00:06",8.5,96,7.9,NA,"065051692","CojoHQ"
345,"3/13/25 00:36",8.5,97,8.1,NA,"065051692","CojoHQ"
346,"3/13/25 01:06",8.5,97,8.1,NA,"065051692","CojoHQ"
347,"3/13/25 01:36",8.5,97,8.1,NA,"065051692","CojoHQ"
348,"3/13/25 02:06",8,97.5,7.6,NA,"065051692","CojoHQ"
349,"3/13/25 02:36",8,98,7.7,NA,"065051692","CojoHQ"
350,"3/13/25 03:06",7.5,98,7.2,NA,"065051692","CojoHQ"
351,"3/13/25 03:36",7,98,6.7,NA,"065051692","CojoHQ"
352,"3/13/25 04:06",7,98.5,6.8,NA,"065051692","CojoHQ"
353,"3/13/25 04:36",7.5,99.5,7.4,NA,"065051692","CojoHQ"
354,"3/13/25 05:06",8,98,7.7,NA,"065051692","CojoHQ"
355,"3/13/25 05:36",7,96,6.4,NA,"065051692","CojoHQ"
356,"3/13/25 06:06",7,93.5,6,NA,"065051692","CojoHQ"
357,"3/13/25 06:36",7.5,94.5,6.7,NA,"065051692","CojoHQ"
358,"3/13/25 07:06",11,86,8.8,NA,"065051692","CojoHQ"
