"Time","Dangermond_North Beach Air Temp Avg degC","Dangermond_North Beach Relative Humidity Max %","Dangermond_North Beach Relative Humidity Min %"
"2025-03-01 07:50:00",13.46,84.8,72.8
"2025-03-01 08:00:00",13.84,83.4,76.9
"2025-03-01 08:10:00",14.38,80.9,74.5
"2025-03-01 08:20:00",14.47,80.1,75.9
"2025-03-01 08:30:00",14.64,81.4,75.4
"2025-03-01 08:40:00",14.92,83.2,72.7
"2025-03-01 08:50:00",14.52,88.9,82.1
"2025-03-01 09:00:00",14.92,88,75.8
"2025-03-01 09:10:00",14.63,93.4,82.7
"2025-03-01 09:20:00",14.02,98,86.8
"2025-03-01 09:30:00",13.56,96.5,84.9
"2025-03-01 09:40:00",13.37,96,85.6
"2025-03-01 09:50:00",12.99,96.6,88.2
"2025-03-01 10:00:00",12.81,97.6,89.4
"2025-03-01 10:10:00",12.64,98.9,90.9
"2025-03-01 10:20:00",12.79,96.5,88.9
"2025-03-01 10:30:00",13.03,95.2,87.5
"2025-03-01 10:40:00",12.77,97.3,89.4
"2025-03-01 10:50:00",12.74,97.1,90.9
"2025-03-01 11:00:00",13.21,96.1,86.7
"2025-03-01 11:10:00",13.11,97.3,87.9
"2025-03-01 11:20:00",13.17,97.7,88.9
"2025-03-01 11:30:00",13.31,98.4,86.8
"2025-03-01 11:40:00",12.94,99.8,89
"2025-03-01 11:50:00",13.13,98,87.4
"2025-03-01 12:00:00",13.16,98.6,89.4
"2025-03-01 12:10:00",12.99,98.8,90.9
"2025-03-01 12:20:00",12.84,98.2,88.3
"2025-03-01 12:30:00",13.01,97.6,85.2
"2025-03-01 12:40:00",12.83,98.1,86.8
"2025-03-01 12:50:00",12.59,98.3,90.1
"2025-03-01 13:00:00",12.53,95.7,88.6
"2025-03-01 13:10:00",12.42,94.9,87.8
"2025-03-01 13:20:00",12.44,94.1,87.9
"2025-03-01 13:30:00",12.55,94.6,86.5
"2025-03-01 13:40:00",12.09,94,89
"2025-03-01 13:50:00",12.13,91.7,86.7
"2025-03-01 14:00:00",12.33,90.3,86.4
"2025-03-01 14:10:00",12.47,89.6,86.1
"2025-03-01 14:20:00",12.71,90.3,85.2
"2025-03-01 14:30:00",13.15,91,84.9
"2025-03-01 14:40:00",13.4,90.2,83
"2025-03-01 14:50:00",13.1,90.9,85.2
"2025-03-01 15:00:00",13.53,89.4,79.7
"2025-03-01 15:10:00",13.89,89.1,76.8
"2025-03-01 15:20:00",14.1,87,77.8
"2025-03-01 15:30:00",14.74,85.6,76.1
"2025-03-01 15:40:00",15.03,80.9,72.6
"2025-03-01 15:50:00",14.04,88.5,73.3
"2025-03-01 16:00:00",12.52,91.1,87.1
"2025-03-01 16:10:00",12.65,91,82.6
"2025-03-01 16:20:00",12.68,89.7,85.1
"2025-03-01 16:30:00",12.71,87.9,84.2
"2025-03-01 16:40:00",12.57,87.8,85.4
"2025-03-01 16:50:00",12.44,87.2,84.8
"2025-03-01 17:00:00",12.29,87.2,84.7
"2025-03-01 17:10:00",12.25,86.8,84.4
"2025-03-01 17:20:00",12.34,85.8,82.9
"2025-03-01 17:30:00",12.42,84.1,82.6
"2025-03-01 17:40:00",12.86,83.8,77.3
"2025-03-01 17:50:00",12.38,87.1,79.8
"2025-03-01 18:00:00",12.65,87.7,72.7
"2025-03-01 18:10:00",12.96,82.1,73.7
"2025-03-01 18:20:00",13.69,77.3,68.1
"2025-03-01 18:30:00",14.84,70.2,57
"2025-03-01 18:40:00",14.62,76.9,54.2
"2025-03-01 18:50:00",13.6,80.7,67.2
"2025-03-01 19:00:00",13,81.5,73.1
"2025-03-01 19:10:00",12.98,80,72.8
"2025-03-01 19:20:00",13.09,77.8,72.7
"2025-03-01 19:30:00",12.57,80.2,76.9
"2025-03-01 19:40:00",12.49,81.2,77.9
"2025-03-01 19:50:00",12.87,81.5,74.7
"2025-03-01 20:00:00",12.88,80.2,75.6
"2025-03-01 20:10:00",12.79,82.3,76.4
"2025-03-01 20:20:00",12.34,84.2,81.3
"2025-03-01 20:30:00",12.13,86.1,82.7
"2025-03-01 20:40:00",11.96,86,84
"2025-03-01 20:50:00",11.95,85,82.2
"2025-03-01 21:00:00",12.19,88.6,80.2
"2025-03-01 21:10:00",11.88,90.3,87.9
"2025-03-01 21:20:00",12.05,89.7,87
"2025-03-01 21:30:00",11.87,89.7,87.4
"2025-03-01 21:40:00",11.61,90.5,86.9
"2025-03-01 21:50:00",11.95,90.3,86.7
"2025-03-01 22:00:00",11.99,91.5,89.4
"2025-03-01 22:10:00",12,92,90.4
"2025-03-01 22:20:00",12,92.7,91.3
"2025-03-01 22:30:00",12.03,93,90.7
"2025-03-01 22:40:00",12.08,92.8,91.1
"2025-03-01 22:50:00",11.95,92.9,91.1
"2025-03-01 23:00:00",12.03,92.6,90.3
"2025-03-01 23:10:00",12.15,91.7,88.5
"2025-03-01 23:20:00",12.41,89,86.6
"2025-03-01 23:30:00",12.42,90,86.3
"2025-03-01 23:40:00",11.99,94,89.8
"2025-03-01 23:50:00",11.89,94.1,92.3
"2025-03-02 00:00:00",11.87,93.8,92.2
"2025-03-02 00:10:00",11.64,95.2,92.9
"2025-03-02 00:20:00",11.53,94.4,91.2
"2025-03-02 00:30:00",11.8,92.9,88.3
"2025-03-02 00:40:00",11.63,91.6,88.1
"2025-03-02 00:50:00",11.44,91.3,87
"2025-03-02 01:00:00",11.22,91.9,88.2
"2025-03-02 01:10:00",11.63,90.7,86.5
"2025-03-02 01:20:00",11.99,91.2,88.2
"2025-03-02 01:30:00",12.02,91.8,90.7
"2025-03-02 01:40:00",12.1,92.5,90.8
"2025-03-02 01:50:00",12.12,92.1,90.8
"2025-03-02 02:00:00",12,92.7,91.3
"2025-03-02 02:10:00",11.98,93,91.7
"2025-03-02 02:20:00",11.87,95.5,92.2
"2025-03-02 02:30:00",11.63,96.9,94.8
"2025-03-02 02:40:00",11.6,97.4,96
"2025-03-02 02:50:00",11.52,97.9,96.4
"2025-03-02 03:00:00",11.44,98.5,96.2
"2025-03-02 03:10:00",11.59,98.1,94.7
"2025-03-02 03:20:00",11.87,95.3,93
"2025-03-02 03:30:00",11.77,96.2,94
"2025-03-02 03:40:00",11.66,95.4,92.3
"2025-03-02 03:50:00",11.55,93.5,90.9
"2025-03-02 04:00:00",11.51,92.3,90.3
"2025-03-02 04:10:00",11.18,93.7,89.7
"2025-03-02 04:20:00",10.94,93.2,88.8
"2025-03-02 04:30:00",11.32,90.4,88.4
"2025-03-02 04:40:00",11.31,92,89.2
"2025-03-02 04:50:00",10.87,93,90
"2025-03-02 05:00:00",10.82,92.4,89.5
"2025-03-02 05:10:00",10.99,91.7,88
"2025-03-02 05:20:00",10.85,92.3,89.7
"2025-03-02 05:30:00",10.96,91.5,89.2
"2025-03-02 05:40:00",10.77,92,89
"2025-03-02 05:50:00",10.68,91.8,89.4
"2025-03-02 06:00:00",10.63,92.1,89.6
"2025-03-02 06:10:00",10.31,93.7,90.9
"2025-03-02 06:20:00",10.35,93,89
"2025-03-02 06:30:00",10.24,93.4,90.1
"2025-03-02 06:40:00",10.06,93.2,89.9
"2025-03-02 06:50:00",10.16,93.6,90.3
"2025-03-02 07:00:00",10.71,93,91
"2025-03-02 07:10:00",11.08,94.5,92.4
"2025-03-02 07:20:00",11.23,94.5,92.8
"2025-03-02 07:30:00",11.54,97,93.9
"2025-03-02 07:40:00",11.49,97.6,94.7
"2025-03-02 07:50:00",11.61,100,96.7
"2025-03-02 08:00:00",11.8,100,98.2
"2025-03-02 08:10:00",12.01,99.6,96.9
"2025-03-02 08:20:00",12.01,99.1,95.3
"2025-03-02 08:30:00",12.05,98.2,94
"2025-03-02 08:40:00",12.17,98.7,94.3
"2025-03-02 08:50:00",12.12,97.9,91.8
"2025-03-02 09:00:00",12.35,97.6,92.9
"2025-03-02 09:10:00",12.25,97.7,93.5
"2025-03-02 09:20:00",12.42,97.8,92.9
"2025-03-02 09:30:00",12.45,98.8,93.6
"2025-03-02 09:40:00",12.56,98.9,93.5
"2025-03-02 09:50:00",12.65,99.2,92.8
"2025-03-02 10:00:00",13.05,98.2,90.8
"2025-03-02 10:10:00",13.13,97.9,90.2
"2025-03-02 10:20:00",13.66,97,87.4
"2025-03-02 10:30:00",13.58,96.6,89.5
"2025-03-02 10:40:00",13.53,96.9,87.3
"2025-03-02 10:50:00",13.2,95.3,87.7
"2025-03-02 11:00:00",13.09,94.4,88.7
"2025-03-02 11:10:00",13.09,94.6,88.6
"2025-03-02 11:20:00",13.11,95.5,88
"2025-03-02 11:30:00",13.29,94.6,87.4
"2025-03-02 11:40:00",13.21,93.8,87.2
"2025-03-02 11:50:00",12.63,94.9,88.9
"2025-03-02 12:00:00",12.71,94.6,89.3
"2025-03-02 12:10:00",12.81,94.1,86.6
"2025-03-02 12:20:00",12.78,93.9,88
"2025-03-02 12:30:00",12.82,94,89.6
"2025-03-02 12:40:00",12.76,94.3,88.5
"2025-03-02 12:50:00",12.9,95,88
"2025-03-02 13:00:00",12.51,94.7,87.3
"2025-03-02 13:10:00",12.69,95.9,89.7
"2025-03-02 13:20:00",12.87,96.6,87.6
"2025-03-02 13:30:00",12.46,96.4,89.5
"2025-03-02 13:40:00",11.55,98.6,91.3
"2025-03-02 13:50:00",10.59,97.1,91.4
"2025-03-02 14:00:00",10.75,93.9,87.5
"2025-03-02 14:10:00",11,90.2,86.2
"2025-03-02 14:20:00",11.48,89.7,84.2
"2025-03-02 14:30:00",12.13,88.2,81.5
"2025-03-02 14:40:00",12.5,89.3,80.9
"2025-03-02 14:50:00",12.55,88,80.9
"2025-03-02 15:00:00",12.54,89.1,80.7
"2025-03-02 15:10:00",12.58,90.5,83.1
"2025-03-02 15:20:00",12.07,90.2,84.2
"2025-03-02 15:30:00",12.23,88.6,83.9
"2025-03-02 15:40:00",12.48,88.4,82.3
"2025-03-02 15:50:00",12.62,86.2,80
"2025-03-02 16:00:00",12.7,84.2,79.9
"2025-03-02 16:10:00",12.54,85.2,79.6
"2025-03-02 16:20:00",12.71,92.4,81.6
"2025-03-02 16:30:00",11.91,87,81.3
"2025-03-02 16:40:00",11.88,83.1,80.6
"2025-03-02 16:50:00",12.13,82.9,80.3
"2025-03-02 17:00:00",12.07,82.8,79.6
"2025-03-02 17:10:00",12,84.3,80.5
"2025-03-02 17:20:00",12.01,84.1,81.9
"2025-03-02 17:30:00",11.98,84.6,81.9
"2025-03-02 17:40:00",11.82,85.4,82
"2025-03-02 17:50:00",11.37,86,82.9
"2025-03-02 18:00:00",11.11,83.6,81.1
"2025-03-02 18:10:00",11.02,82.6,79.6
"2025-03-02 18:20:00",11.17,81.5,79.4
"2025-03-02 18:30:00",11.2,81.3,78
"2025-03-02 18:40:00",11.19,79.6,77
"2025-03-02 18:50:00",11.19,79.1,76.4
"2025-03-02 19:00:00",11.12,78.6,76.1
"2025-03-02 19:10:00",11.14,78.1,74.4
"2025-03-02 19:20:00",11.1,77.7,75
"2025-03-02 19:30:00",11.06,77.3,74.2
"2025-03-02 19:40:00",10.97,78.5,76
"2025-03-02 19:50:00",10.94,79.2,76.2
"2025-03-02 20:00:00",11.07,78.9,76.4
"2025-03-02 20:10:00",11.03,79.7,77.4
"2025-03-02 20:20:00",11.08,80.2,78
"2025-03-02 20:30:00",11.11,80.7,78.5
"2025-03-02 20:40:00",11.16,81.2,78.6
"2025-03-02 20:50:00",11.16,80,76.2
"2025-03-02 21:00:00",11.19,79.8,77.6
"2025-03-02 21:10:00",11.19,80.4,77.5
"2025-03-02 21:20:00",11.15,81.5,79.7
"2025-03-02 21:30:00",11.13,82.6,80
"2025-03-02 21:40:00",11.08,82.4,80.5
"2025-03-02 21:50:00",11.03,82.7,80.3
"2025-03-02 22:00:00",11.02,82.8,80.7
"2025-03-02 22:10:00",10.96,83.3,80.7
"2025-03-02 22:20:00",10.74,84,81.5
"2025-03-02 22:30:00",10.78,82.7,80.2
"2025-03-02 22:40:00",10.96,82,80
"2025-03-02 22:50:00",10.88,83.8,81.1
"2025-03-02 23:00:00",10.67,85,82.4
"2025-03-02 23:10:00",10.75,84.7,82.2
"2025-03-02 23:20:00",10.68,85.2,82
"2025-03-02 23:30:00",10.85,84.7,81.3
"2025-03-02 23:40:00",10.7,85.5,82.7
"2025-03-02 23:50:00",10.43,84.8,81.7
"2025-03-03 00:00:00",10.58,84.2,81.8
"2025-03-03 00:10:00",10.69,83.5,81.4
"2025-03-03 00:20:00",10.62,84,81.2
"2025-03-03 00:30:00",10.7,83.8,81.5
"2025-03-03 00:40:00",10.64,83.7,81.4
"2025-03-03 00:50:00",10.61,85,82.7
"2025-03-03 01:00:00",10.46,84.7,82.3
"2025-03-03 01:10:00",10.57,84.4,82.5
"2025-03-03 01:20:00",10.71,85.3,83.5
"2025-03-03 01:30:00",10.77,85,81.5
"2025-03-03 01:40:00",10.71,84.2,79.4
"2025-03-03 01:50:00",10.57,82.4,79.4
"2025-03-03 02:00:00",10.55,82.7,80.2
"2025-03-03 02:10:00",10.58,83.7,81.6
"2025-03-03 02:20:00",10.2,90.9,82.4
"2025-03-03 02:30:00",10.23,88.7,84.9
"2025-03-03 02:40:00",10.5,86.5,84.3
"2025-03-03 02:50:00",10.04,86.6,83.8
"2025-03-03 03:00:00",9.72,86,83.4
"2025-03-03 03:10:00",9.71,84.3,80.4
"2025-03-03 03:20:00",10.05,84.6,81.3
"2025-03-03 03:30:00",10.25,85.7,82.7
"2025-03-03 03:40:00",9.58,90.3,84.8
"2025-03-03 03:50:00",9.39,87.1,82
"2025-03-03 04:00:00",9.34,83.2,80.7
"2025-03-03 04:10:00",9.36,84.4,81.5
"2025-03-03 04:20:00",9.55,84.9,81.9
"2025-03-03 04:30:00",9.58,85.3,82.9
"2025-03-03 04:40:00",9.61,85,82.4
"2025-03-03 04:50:00",9.57,85.5,82.2
"2025-03-03 05:00:00",9.71,85.2,82.5
"2025-03-03 05:10:00",9.82,85.5,81.4
"2025-03-03 05:20:00",9.91,84.7,81.5
"2025-03-03 05:30:00",10,84.2,81.3
"2025-03-03 05:40:00",10.2,84.8,80.7
"2025-03-03 05:50:00",10.32,84.1,82.4
"2025-03-03 06:00:00",10.33,85.1,81.9
"2025-03-03 06:10:00",10.17,84.5,81.8
"2025-03-03 06:20:00",9.81,85.8,82.3
"2025-03-03 06:30:00",9.91,84.9,80.7
"2025-03-03 06:40:00",10.01,84.8,82.4
"2025-03-03 06:50:00",10.44,84.7,82.7
"2025-03-03 07:00:00",10.33,85.6,83.4
"2025-03-03 07:10:00",10.26,85.3,82.6
"2025-03-03 07:20:00",10.35,89.4,83
"2025-03-03 07:30:00",9.93,90,86.1
"2025-03-03 07:40:00",10.12,89.2,85.7
"2025-03-03 07:50:00",10.47,88.6,86.6
"2025-03-03 08:00:00",10.86,88.6,85.8
"2025-03-03 08:10:00",11.09,91.3,84.7
"2025-03-03 08:20:00",11.01,90.4,85.9
"2025-03-03 08:30:00",11.44,90.9,84.7
"2025-03-03 08:40:00",11.36,90.9,83.9
"2025-03-03 08:50:00",11.5,87.8,82.7
"2025-03-03 09:00:00",11.86,87,79.6
"2025-03-03 09:10:00",12.18,83.4,78.3
"2025-03-03 09:20:00",12.35,83.6,76.3
"2025-03-03 09:30:00",12.47,83.9,77.7
"2025-03-03 09:40:00",12.34,84.4,77.4
"2025-03-03 09:50:00",12.27,82.2,74.8
"2025-03-03 10:00:00",12.76,81.1,73
"2025-03-03 10:10:00",12.73,81,71.5
"2025-03-03 10:20:00",12.91,77.1,70.1
"2025-03-03 10:30:00",12.98,76.8,69.6
"2025-03-03 10:40:00",12.91,75.1,69.4
"2025-03-03 10:50:00",12.92,76.1,69.7
"2025-03-03 11:00:00",13.26,75.2,68.4
"2025-03-03 11:10:00",13.26,74.8,68.4
"2025-03-03 11:20:00",13.37,76.5,68.1
"2025-03-03 11:30:00",13.16,77,69.8
"2025-03-03 11:40:00",13.14,75.8,70.2
"2025-03-03 11:50:00",13.22,77.8,70.3
"2025-03-03 12:00:00",13.24,76,69.5
"2025-03-03 12:10:00",13.25,75.5,69.1
"2025-03-03 12:20:00",13.2,75.9,68.3
"2025-03-03 12:30:00",13.38,75.5,68.9
"2025-03-03 12:40:00",13.27,78.3,70.3
"2025-03-03 12:50:00",13.12,78.5,71.4
"2025-03-03 13:00:00",13.29,78.9,70.6
"2025-03-03 13:10:00",13.19,78.9,72.2
"2025-03-03 13:20:00",13.08,80.5,72.6
"2025-03-03 13:30:00",13.12,80.3,71.5
"2025-03-03 13:40:00",13.09,81.2,73.4
"2025-03-03 13:50:00",13.51,79.5,72.2
"2025-03-03 14:00:00",13.44,78.7,70.6
"2025-03-03 14:10:00",13.36,79.3,72.8
"2025-03-03 14:20:00",13.44,79.7,71.8
"2025-03-03 14:30:00",13.27,80.3,73.1
"2025-03-03 14:40:00",13.06,80.6,74.9
"2025-03-03 14:50:00",13.05,81.6,76.2
"2025-03-03 15:00:00",12.99,82.4,76.7
"2025-03-03 15:10:00",12.87,82.8,78.1
"2025-03-03 15:20:00",13.02,84.2,76.8
"2025-03-03 15:30:00",13.23,80.7,74.1
"2025-03-03 15:40:00",12.95,82.6,75.5
"2025-03-03 15:50:00",12.87,82.9,78.3
"2025-03-03 16:00:00",12.99,82.1,76
"2025-03-03 16:10:00",12.78,82.7,76.2
"2025-03-03 16:20:00",12.6,83.6,80.4
"2025-03-03 16:30:00",12.46,83.6,80.4
"2025-03-03 16:40:00",12.35,83.2,80.5
"2025-03-03 16:50:00",12.23,84,81.1
"2025-03-03 17:00:00",12.11,83.6,81.3
"2025-03-03 17:10:00",12.06,84,81.1
"2025-03-03 17:20:00",12.01,83.2,80.7
"2025-03-03 17:30:00",11.9,83.4,81.1
"2025-03-03 17:40:00",11.76,84.1,81.9
"2025-03-03 17:50:00",11.48,84.7,82.1
"2025-03-03 18:00:00",11.32,83.8,81.7
"2025-03-03 18:10:00",11.2,84.9,82
"2025-03-03 18:20:00",11.04,84.9,83.5
"2025-03-03 18:30:00",10.96,85.2,83.4
"2025-03-03 18:40:00",10.96,85,83.5
"2025-03-03 18:50:00",10.89,85.8,84.2
"2025-03-03 19:00:00",10.87,85.8,84.3
"2025-03-03 19:10:00",10.86,86.1,84.1
"2025-03-03 19:20:00",10.72,87.2,85
"2025-03-03 19:30:00",10.8,87,85
"2025-03-03 19:40:00",10.8,87.3,85.5
"2025-03-03 19:50:00",10.76,87.4,86
"2025-03-03 20:00:00",10.86,86.9,85.6
"2025-03-03 20:10:00",10.89,87.4,85.2
"2025-03-03 20:20:00",10.94,88,85.5
"2025-03-03 20:30:00",10.99,87.9,86.2
"2025-03-03 20:40:00",10.99,87.5,85.3
"2025-03-03 20:50:00",11.02,87.5,85.7
"2025-03-03 21:00:00",11.07,88.2,85.9
"2025-03-03 21:10:00",11.04,88.7,86.9
"2025-03-03 21:20:00",10.99,89,87.3
"2025-03-03 21:30:00",10.97,89.2,87
"2025-03-03 21:40:00",10.94,89.3,87.5
"2025-03-03 21:50:00",10.96,89.4,87.4
"2025-03-03 22:00:00",10.85,90.4,88.4
"2025-03-03 22:10:00",10.86,90,88.2
"2025-03-03 22:20:00",10.81,89.8,88.2
"2025-03-03 22:30:00",10.82,89.8,88.4
"2025-03-03 22:40:00",10.79,90,88.6
"2025-03-03 22:50:00",10.71,90.4,88.6
"2025-03-03 23:00:00",10.66,90.6,88.4
"2025-03-03 23:10:00",10.7,89.8,87.9
"2025-03-03 23:20:00",10.69,89.9,87.7
"2025-03-03 23:30:00",10.68,89.6,87.5
"2025-03-03 23:40:00",10.64,89.1,87
"2025-03-03 23:50:00",10.49,89.7,87.6
"2025-03-04 00:00:00",10.44,89.6,88.2
"2025-03-04 00:10:00",10.36,90.1,88.4
"2025-03-04 00:20:00",10.26,90.4,87.9
"2025-03-04 00:30:00",10.16,90.4,87.1
"2025-03-04 00:40:00",10.18,90.2,86.5
"2025-03-04 00:50:00",10.35,88.4,85.2
"2025-03-04 01:00:00",10.28,89.2,86.6
"2025-03-04 01:10:00",10.18,89.2,87
"2025-03-04 01:20:00",10.24,89.2,86.2
"2025-03-04 01:30:00",10.43,89.6,86.3
"2025-03-04 01:40:00",10.37,90.5,88.1
"2025-03-04 01:50:00",10.24,90.9,88.7
"2025-03-04 02:00:00",10.17,90.5,88.5
"2025-03-04 02:10:00",10.12,90.7,87.2
"2025-03-04 02:20:00",10.39,89.9,86.7
"2025-03-04 02:30:00",10.55,90.3,87.7
"2025-03-04 02:40:00",10.52,91.4,89.4
"2025-03-04 02:50:00",10.44,91.9,89.9
"2025-03-04 03:00:00",10.46,91.3,88.9
"2025-03-04 03:10:00",10.36,91.4,89
"2025-03-04 03:20:00",10.34,91.3,89
"2025-03-04 03:30:00",10.43,90.5,88.1
"2025-03-04 03:40:00",10.39,90.9,88.2
"2025-03-04 03:50:00",10.17,92,88.8
"2025-03-04 04:00:00",10.03,91.7,88.6
"2025-03-04 04:10:00",9.93,91.2,89
"2025-03-04 04:20:00",9.95,91,88.4
"2025-03-04 04:30:00",10.07,90.7,88.4
"2025-03-04 04:40:00",10.06,91.2,88.2
"2025-03-04 04:50:00",10.07,91,87.5
"2025-03-04 05:00:00",10.21,89.7,87.4
"2025-03-04 05:10:00",10.24,89.7,87.7
"2025-03-04 05:20:00",10.32,88.8,86.4
"2025-03-04 05:30:00",10.34,88.7,86.2
"2025-03-04 05:40:00",10.24,88.9,86.4
"2025-03-04 05:50:00",10.3,87.9,84.9
"2025-03-04 06:00:00",10.26,87.6,85.2
"2025-03-04 06:10:00",10.16,87.3,85.1
"2025-03-04 06:20:00",9.99,88.2,85.6
"2025-03-04 06:30:00",9.99,87.6,83.9
"2025-03-04 06:40:00",9.45,92.2,85.9
"2025-03-04 06:50:00",10.06,87.2,84.8
"2025-03-04 07:00:00",10.23,89.1,86.1
"2025-03-04 07:10:00",10.24,91.4,88.7
"2025-03-04 07:20:00",10.3,91.5,89.3
"2025-03-04 07:30:00",10.44,90.1,87.7
"2025-03-04 07:40:00",10.61,89.6,86.5
"2025-03-04 07:50:00",10.98,91.2,87.5
"2025-03-04 08:00:00",11.3,91,87.4
"2025-03-04 08:10:00",11.55,91.7,86
"2025-03-04 08:20:00",11.87,89.9,85.4
"2025-03-04 08:30:00",12.09,88,83.8
"2025-03-04 08:40:00",12.21,89.2,83.4
"2025-03-04 08:50:00",12.46,90,82.3
"2025-03-04 09:00:00",12.85,90.1,80
"2025-03-04 09:10:00",13.49,87.8,80
"2025-03-04 09:20:00",13.43,89.7,79.7
"2025-03-04 09:30:00",13.65,90.2,78.9
"2025-03-04 09:40:00",13.89,88.6,76.6
"2025-03-04 09:50:00",14.07,87,75.8
"2025-03-04 10:00:00",14.19,84.9,74.3
"2025-03-04 10:10:00",13.86,86.3,74.9
"2025-03-04 10:20:00",13.35,90.9,75.8
"2025-03-04 10:30:00",12.36,92.8,81.7
"2025-03-04 10:40:00",12.37,91.4,77.9
"2025-03-04 10:50:00",12.45,92.6,80.3
"2025-03-04 11:00:00",12.53,91.5,82.5
"2025-03-04 11:10:00",12.74,90.8,81.3
"2025-03-04 11:20:00",12.96,92.9,80.1
"2025-03-04 11:30:00",12.63,93.8,83.8
"2025-03-04 11:40:00",12.67,94.4,82.6
"2025-03-04 11:50:00",12.42,97.3,87.3
"2025-03-04 12:00:00",12.42,97.1,87.4
"2025-03-04 12:10:00",12.18,97.4,87.3
"2025-03-04 12:20:00",12.08,96.1,88.4
"2025-03-04 12:30:00",12.29,95.9,84.7
"2025-03-04 12:40:00",12.27,95.6,86.2
"2025-03-04 12:50:00",12.37,95.5,86.4
"2025-03-04 13:00:00",12.49,95,84.9
"2025-03-04 13:10:00",12.79,91.9,82.8
"2025-03-04 13:20:00",13.12,92.7,80.3
"2025-03-04 13:30:00",12.99,92.1,83.1
"2025-03-04 13:40:00",12.96,90.5,82.1
"2025-03-04 13:50:00",12.81,91.6,83.9
"2025-03-04 14:00:00",12.96,88.9,82.9
"2025-03-04 14:10:00",12.96,90.6,81
"2025-03-04 14:20:00",12.83,89.6,82
"2025-03-04 14:30:00",12.57,89.3,82.4
"2025-03-04 14:40:00",12.39,92.4,83.6
"2025-03-04 14:50:00",12.05,93.3,88
"2025-03-04 15:00:00",12.32,92.6,84.9
"2025-03-04 15:10:00",12.39,92,84.4
"2025-03-04 15:20:00",12.32,91.6,86
"2025-03-04 15:30:00",12.68,91.2,83.9
"2025-03-04 15:40:00",12.54,91,83.6
"2025-03-04 15:50:00",12.46,90.9,85.7
"2025-03-04 16:00:00",12.5,90.1,84.6
"2025-03-04 16:10:00",12.42,89.1,85.5
"2025-03-04 16:20:00",12.33,90.2,86.2
"2025-03-04 16:30:00",12.44,88.3,83.5
"2025-03-04 16:40:00",12.49,87.3,83.5
"2025-03-04 16:50:00",12.34,88,85.1
"2025-03-04 17:00:00",12.18,88,85.3
"2025-03-04 17:10:00",11.98,88.7,85.1
"2025-03-04 17:20:00",12.85,87.7,78.5
"2025-03-04 17:30:00",13.08,83.7,77.8
"2025-03-04 17:40:00",12.75,84.8,80.2
"2025-03-04 17:50:00",12.55,84.6,81.4
"2025-03-04 18:00:00",12.07,85.5,82.1
"2025-03-04 18:10:00",12.02,85.1,80.9
"2025-03-04 18:20:00",11.78,85.2,82.3
